temperature_fz,humidity_fz,pressure_fz,lat,long,time_gps,numSats_gps,temperature_pws,humidity_pws,time_pws,protocol_pws,id_pws
24.889999,75.173828,1006.299988,,,2023-11-17 19:02:30,0,26.799999,60.0,1700229749.0, Acurite 592TXR,1214.0
24.809999,74.771484,1006.340027,,,2023-11-17 19:02:54,0,26.799999,60.0,1700229749.0, Acurite 592TXR,1214.0
25.01,74.536133,1006.340027,,,2023-11-17 19:03:19,0,27.0,59.0,1700229798.0, Acurite 592TXR,1214.0
25.120001,74.352539,1006.320007,,,2023-11-17 19:03:35,0,27.1,59.0,1700229814.0, Acurite 592TXR,1214.0
25.370001,74.294922,1006.309998,,,2023-11-17 19:03:51,0,27.1,59.0,1700229830.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 19:03:55,0,27.1,59.0,1700229830.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 19:04:00,0,27.1,59.0,1700229847.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,,,2023-11-17 19:04:24,0,27.1,59.0,1700229863.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,,,2023-11-17 19:04:40,0,27.1,59.0,1700229879.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,,,2023-11-17 19:04:56,0,27.1,59.0,1700229879.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,,,2023-11-17 19:04:56,0,27.200001,59.0,1700229895.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059067,-82.415459,2023-11-17 19:05:13,4,27.200001,59.0,1700229912.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059072,-82.415489,2023-11-17 19:05:29,6,27.200001,59.0,1700229928.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059076,-82.415512,2023-11-17 19:05:45,6,27.200001,59.0,1700229944.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059076,-82.415512,2023-11-17 19:05:57,6,27.200001,59.0,1700229944.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059076,-82.415512,2023-11-17 19:06:01,7,27.200001,59.0,1700229960.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059071,-82.415527,2023-11-17 19:06:18,7,27.200001,59.0,1700229977.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059067,-82.415527,2023-11-17 19:06:34,7,27.299999,59.0,1700229993.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059074,-82.415504,2023-11-17 19:06:50,7,27.299999,59.0,1700230009.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059072,-82.415497,2023-11-17 19:06:58,7,27.299999,59.0,1700230009.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059071,-82.415497,2023-11-17 19:07:06,7,27.299999,59.0,1700230025.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059071,-82.415482,2023-11-17 19:07:23,7,27.299999,59.0,1700230042.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059061,-82.415482,2023-11-17 19:07:39,7,27.299999,59.0,1700230058.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059059,-82.415489,2023-11-17 19:07:55,7,27.299999,59.0,1700230074.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059057,-82.415489,2023-11-17 19:07:59,7,27.299999,59.0,1700230074.0, Acurite 592TXR,1214.0
24.33,71.137695,730.309998,28.059059,-82.415482,2023-11-17 19:08:11,6,27.5,59.0,1700230090.0, Acurite 592TXR,1214.0
